type,canonical,alias,language,category,confidence,notes
category,phone,phone,en,phone,0.95,
category,phone,telephone,fr,phone,0.93,
category,phone,téléphone,fr,phone,0.95,
category,phone,telephone,typo,phone,0.85,missing accent
category,phone,smartphone,en,phone,0.96,
category,phone,smart phone,typo,phone,0.85,split word
category,phone,portable,fr,phone,0.85,colloquial FR for mobile phone
category,phone,هاتف,ar,phone,0.93,
category,phone,جوال,ar,phone,0.88,
category,phone,هاتف ذكي,ar,phone,0.92,
category,phone,hatif,darija_latin,phone,0.80,transliteration
category,phone,portabl,darija_latin,phone,0.88,darija for phone
category,phone,le portable,fr,phone,0.84,
category,phone,nat fone,typo,phone,0.70,phonetic typo
category,phone,smarfone,typo,phone,0.75,misspelling
category,phone,telefon,typo,phone,0.78,misspelling
category,phone,hatifi,darija_latin,phone,0.72,"my phone, inflected"
category,smartphone,smartphone,en,phone,0.96,
category,smartphone,smart phone,typo,phone,0.85,
category,smartphone,téléphone intelligent,fr,phone,0.80,formal FR term
category,smartphone,haouatif dki,darija_latin,phone,0.70,rare transliteration
category,smartphone,جوال ذكي,ar,phone,0.85,
category,tablet,tablet,en,tablet,0.95,
category,tablet,tablette,fr,tablet,0.95,
category,tablet,tablete,typo,tablet,0.85,missing accent
category,tablet,tablett,typo,tablet,0.78,double t typo
category,tablet,لوحة,ar,tablet,0.85,
category,tablet,ipad,brand_model,tablet,0.93,generic use of brand as category term
category,tablet,tabla,darija_latin,tablet,0.78,colloquial
category,laptop,laptop,en,laptop,0.96,
category,laptop,ordinateur portable,fr,laptop,0.95,
category,laptop,pc portable,fr,laptop,0.94,
category,laptop,ordinateur,fr,laptop,0.85,generic computer term
category,laptop,labtop,typo,laptop,0.85,common misspelling
category,laptop,laptob,typo,laptop,0.75,misspelling
category,laptop,lap top,typo,laptop,0.80,split word
category,laptop,حاسوب محمول,ar,laptop,0.90,
category,laptop,لابتوب,ar,laptop,0.92,arabic transliteration
category,laptop,labtob,darija_latin,laptop,0.82,darija transliteration
category,laptop,ordi,fr,laptop,0.80,colloquial FR
category,laptop,ordi portable,fr,laptop,0.85,
category,pc,pc,en,pc,0.93,
category,pc,desktop,en,pc,0.92,
category,pc,ordinateur de bureau,fr,pc,0.93,
category,pc,ordinateur fixe,fr,pc,0.88,
category,pc,حاسوب مكتبي,ar,pc,0.88,
category,pc,pc bureau,typo,pc,0.80,abbreviated
category,pc,disktop,typo,pc,0.72,misspelling
category,gaming_pc,gaming pc,en,gaming,0.95,
category,gaming_pc,pc gamer,fr,gaming,0.95,
category,gaming_pc,pc gaming,fr,gaming,0.90,
category,gaming_pc,setup gamer,fr,gaming,0.82,colloquial
category,gaming_pc,pc de jeu,fr,gaming,0.80,
category,gaming_pc,gemin pc,typo,gaming,0.70,misspelling
category,gaming_pc,pc lel gaming,darija_latin,gaming,0.75,
category,monitor,monitor,en,monitor,0.94,
category,monitor,écran,fr,monitor,0.95,
category,monitor,ecran,fr,monitor,0.93,missing accent
category,monitor,écran pc,fr,monitor,0.88,
category,monitor,شاشة,ar,monitor,0.92,
category,monitor,chacha,darija_latin,monitor,0.78,darija for screen
category,monitor,ecran dial pc,darija_latin,monitor,0.75,
category,monitor,monitr,typo,monitor,0.72,misspelling
category,keyboard,keyboard,en,keyboard,0.94,
category,keyboard,clavier,fr,keyboard,0.95,
category,keyboard,claviée,typo,keyboard,0.70,misspelling
category,keyboard,لوحة مفاتيح,ar,keyboard,0.88,
category,keyboard,klavie,darija_latin,keyboard,0.78,darija transliteration
category,keyboard,keybord,typo,keyboard,0.78,misspelling
category,mouse,mouse,en,mouse,0.93,
category,mouse,souris,fr,mouse,0.95,
category,mouse,souri,typo,mouse,0.80,missing s
category,mouse,فأرة,ar,mouse,0.86,
category,mouse,mouss,darija_latin,mouse,0.75,darija transliteration
category,mouse,maouss,darija_latin,mouse,0.72,
category,headphones,headphones,en,headphones,0.93,
category,headphones,headphone,en,headphones,0.90,
category,headphones,casque,fr,headphones,0.95,
category,headphones,casque audio,fr,headphones,0.93,
category,headphones,سماعات,ar,headphones,0.90,
category,headphones,sm3at,darija_latin,headphones,0.80,darija transliteration
category,headphones,sma3at,darija_latin,headphones,0.82,darija transliteration
category,headphones,hedfon,typo,headphones,0.72,misspelling
category,headphones,casq,typo,headphones,0.75,abbreviated typo
category,earbuds,earbuds,en,earbuds,0.93,
category,earbuds,écouteurs,fr,earbuds,0.95,
category,earbuds,ecouteurs,fr,earbuds,0.92,missing accent
category,earbuds,ecouteur,fr,earbuds,0.88,singular
category,earbuds,سماعات أذن,ar,earbuds,0.88,
category,earbuds,airpods,brand_model,earbuds,0.90,generic use of brand as category
category,earbuds,sma3at lwln,darija_latin,earbuds,0.72,
category,earbuds,ecoutör,typo,earbuds,0.70,misspelling
category,smartwatch,smartwatch,en,smartwatch,0.93,
category,smartwatch,montre intelligente,fr,smartwatch,0.92,
category,smartwatch,montre connectée,fr,smartwatch,0.93,
category,smartwatch,montre connectee,fr,smartwatch,0.88,missing accent
category,smartwatch,ساعة ذكية,ar,smartwatch,0.90,
category,smartwatch,smart watch,typo,smartwatch,0.85,split word
category,smartwatch,magana dakia,darija_latin,smartwatch,0.72,darija transliteration
category,camera,camera,en,camera,0.93,
category,camera,appareil photo,fr,camera,0.95,
category,camera,appareil photo numérique,fr,camera,0.88,
category,camera,كاميرا,ar,camera,0.92,
category,camera,kamira,darija_latin,camera,0.80,transliteration
category,camera,camera photo,typo,camera,0.78,redundant
category,printer,printer,en,printer,0.93,
category,printer,imprimante,fr,printer,0.95,
category,printer,imprimente,typo,printer,0.78,misspelling
category,printer,طابعة,ar,printer,0.90,
category,printer,emprimante,typo,printer,0.72,misspelling
brand,Samsung,Samsung,en,phone,0.97,
brand,Samsung,samsung,en,phone,0.95,lowercase
brand,Samsung,samsoung,typo,phone,0.78,misspelling
brand,Samsung,samsung galaxy,brand_model,phone,0.90,brand + line
brand,Samsung,سامسونج,ar,phone,0.93,
brand,Samsung,samsonge,typo,phone,0.70,misspelling
brand,Apple,Apple,en,phone,0.97,
brand,Apple,apple,en,phone,0.95,lowercase
brand,Apple,ابل,ar,phone,0.90,
brand,Apple,أبل,ar,phone,0.88,
brand,Apple,aple,typo,phone,0.75,misspelling
brand,Apple,appl,typo,phone,0.78,misspelling
brand,iPhone,iPhone,brand_model,phone,0.97,
brand,iPhone,iphone,brand_model,phone,0.96,lowercase
brand,iPhone,ايفون,ar,phone,0.93,
brand,iPhone,آيفون,ar,phone,0.90,
brand,iPhone,aifone,darija_latin,phone,0.85,darija transliteration
brand,iPhone,ifone,typo,phone,0.82,misspelling
brand,iPhone,iphon,typo,phone,0.80,missing e
brand,iPhone,i phone,typo,phone,0.80,split word
brand,iPhone,iphone 13,brand_model,phone,0.93,specific model
brand,iPhone,iphone 14,brand_model,phone,0.93,specific model
brand,iPhone,iphone 15,brand_model,phone,0.93,specific model
brand,iPhone,iphone 11,brand_model,phone,0.92,specific model
brand,iPhone,iphone se,brand_model,phone,0.88,specific model
brand,Xiaomi,Xiaomi,en,phone,0.95,
brand,Xiaomi,xiaomi,en,phone,0.93,lowercase
brand,Xiaomi,chaomi,typo,phone,0.75,phonetic misspelling
brand,Xiaomi,شاومي,ar,phone,0.90,
brand,Xiaomi,xaomi,typo,phone,0.78,misspelling
brand,Xiaomi,ksyaomi,typo,phone,0.70,misspelling
brand,Redmi,Redmi,brand_model,phone,0.95,
brand,Redmi,redmi,brand_model,phone,0.93,lowercase
brand,Redmi,ريدمي,ar,phone,0.88,
brand,Redmi,ridmi,darija_latin,phone,0.78,transliteration
brand,Redmi,redmi note,brand_model,phone,0.92,product line
brand,Redmi,redmi note 12,brand_model,phone,0.90,specific model
brand,Oppo,Oppo,en,phone,0.95,
brand,Oppo,oppo,en,phone,0.93,lowercase
brand,Oppo,اوبو,ar,phone,0.85,
brand,Oppo,opo,typo,phone,0.78,misspelling
brand,Vivo,Vivo,en,phone,0.93,
brand,Vivo,vivo,en,phone,0.92,lowercase
brand,Vivo,فيفو,ar,phone,0.85,
brand,Vivo,vivoo,typo,phone,0.72,misspelling
brand,Huawei,Huawei,en,phone,0.95,
brand,Huawei,huawei,en,phone,0.93,lowercase
brand,Huawei,هواوي,ar,phone,0.92,
brand,Huawei,hawawi,darija_latin,phone,0.80,transliteration
brand,Huawei,huawai,typo,phone,0.78,misspelling
brand,Huawei,wawi,typo,phone,0.70,common shortened misspelling
brand,Honor,Honor,en,phone,0.93,
brand,Honor,honor,en,phone,0.92,lowercase
brand,Honor,هونر,ar,phone,0.85,
brand,Honor,honour,typo,phone,0.78,British spelling typo
brand,Infinix,Infinix,en,phone,0.93,
brand,Infinix,infinix,en,phone,0.92,lowercase
brand,Infinix,انفينكس,ar,phone,0.85,
brand,Infinix,infiniks,typo,phone,0.75,misspelling
brand,Tecno,Tecno,en,phone,0.92,
brand,Tecno,tecno,en,phone,0.91,lowercase
brand,Tecno,تكنو,ar,phone,0.84,
brand,Tecno,techno,typo,phone,0.78,"misspelling, confuses with genre"
brand,Itel,Itel,en,phone,0.90,
brand,Itel,itel,en,phone,0.89,lowercase
brand,Itel,ايتل,ar,phone,0.82,
brand,Itel,aytel,typo,phone,0.70,misspelling
brand,HP,HP,en,laptop,0.94,
brand,HP,hp,en,laptop,0.92,lowercase
brand,HP,اتش بي,ar,laptop,0.85,
brand,HP,اش بي,ar,laptop,0.80,
brand,HP,hewlett packard,en,laptop,0.85,full company name
brand,HP,hp omen,brand_model,laptop,0.92,gaming laptop line
brand,HP,hp victus,brand_model,laptop,0.92,gaming laptop line
brand,HP,omen,brand_model,laptop,0.85,HP gaming sub-brand
brand,HP,victus,brand_model,laptop,0.85,HP gaming sub-brand
brand,Dell,Dell,en,laptop,0.95,
brand,Dell,dell,en,laptop,0.93,lowercase
brand,Dell,ديل,ar,laptop,0.86,
brand,Dell,del,typo,laptop,0.75,missing l
brand,Lenovo,Lenovo,en,laptop,0.95,
brand,Lenovo,lenovo,en,laptop,0.93,lowercase
brand,Lenovo,لينوفو,ar,laptop,0.88,
brand,Lenovo,lenovoo,typo,laptop,0.72,misspelling
brand,Lenovo,thinkpad,brand_model,laptop,0.93,Lenovo business laptop line
brand,Lenovo,think pad,typo,laptop,0.82,split word
brand,Lenovo,legion,brand_model,laptop,0.90,Lenovo gaming laptop line
brand,Asus,Asus,en,laptop,0.95,
brand,Asus,asus,en,laptop,0.93,lowercase
brand,Asus,اسوس,ar,laptop,0.88,
brand,Asus,azus,typo,laptop,0.75,misspelling
brand,Asus,asuss,typo,laptop,0.72,misspelling
brand,Asus,rog,brand_model,laptop,0.85,Asus gaming sub-brand Republic of Gamers
brand,Acer,Acer,en,laptop,0.93,
brand,Acer,acer,en,laptop,0.92,lowercase
brand,Acer,ايسر,ar,laptop,0.85,
brand,Acer,asair,typo,laptop,0.70,phonetic misspelling
brand,Acer,aser,typo,laptop,0.75,misspelling
brand,MSI,MSI,en,laptop,0.92,
brand,MSI,msi,en,laptop,0.91,lowercase
brand,MSI,ام اس اي,ar,laptop,0.78,
brand,MacBook,MacBook,brand_model,laptop,0.96,
brand,MacBook,macbook,brand_model,laptop,0.95,lowercase
brand,MacBook,ماك بوك,ar,laptop,0.88,
brand,MacBook,makbouk,darija_latin,laptop,0.78,transliteration
brand,MacBook,mac book,typo,laptop,0.85,split word
brand,MacBook,macbook pro,brand_model,laptop,0.94,specific model
brand,MacBook,macbook air,brand_model,laptop,0.94,specific model
brand,MacBook,makbouk pro,darija_latin,laptop,0.74,
brand,PlayStation,PlayStation,brand_model,gaming,0.96,
brand,PlayStation,playstation,brand_model,gaming,0.95,lowercase
brand,PlayStation,ps4,brand_model,gaming,0.93,console generation
brand,PlayStation,ps5,brand_model,gaming,0.95,console generation
brand,PlayStation,بلايستيشن,ar,gaming,0.90,
brand,PlayStation,playstayshن,darija_ar,gaming,0.70,mixed script typo
brand,PlayStation,blestichn,darija_latin,gaming,0.70,phonetic transliteration
brand,PlayStation,play station,typo,gaming,0.85,split word
brand,Xbox,Xbox,brand_model,gaming,0.95,
brand,Xbox,xbox,brand_model,gaming,0.94,lowercase
brand,Xbox,اكس بوكس,ar,gaming,0.85,
brand,Xbox,xbox series x,brand_model,gaming,0.92,specific model
brand,Xbox,xbox series s,brand_model,gaming,0.90,specific model
brand,Xbox,ekss boks,typo,gaming,0.70,phonetic misspelling
brand,Nintendo,Nintendo,brand_model,gaming,0.93,
brand,Nintendo,nintendo,brand_model,gaming,0.92,lowercase
brand,Nintendo,نينتندو,ar,gaming,0.84,
brand,Nintendo,nintendo switch,brand_model,gaming,0.93,specific console
brand,Nintendo,switch,brand_model,gaming,0.85,common shortened name
brand,Nintendo,ninetendo,typo,gaming,0.70,misspelling
category,car,car,en,car,0.95,
category,car,voiture,fr,car,0.96,
category,car,voitur,typo,car,0.80,missing e
category,car,vwatir,typo,car,0.70,phonetic misspelling
category,car,سيارة,ar,car,0.93,
category,car,tomobil,darija_latin,car,0.88,darija for car
category,car,toumobile,darija_latin,car,0.85,darija transliteration
category,car,tomobile,darija_latin,car,0.86,
category,car,automobile,fr,car,0.85,formal term
category,car,bagra,typo,car,0.70,"unrelated darija slang, low conf"
category,used_car,used car,en,car,0.92,
category,used_car,voiture occasion,fr,car,0.93,
category,used_car,voiture d'occasion,fr,car,0.94,
category,used_car,occasion,fr,car,0.85,"colloquial, implies used car in context"
category,used_car,سيارة مستعملة,ar,car,0.90,
category,used_car,tomobil msta3mla,darija_latin,car,0.85,
category,used_car,tomobile m3awda,darija_latin,car,0.75,
category,motorcycle,motorcycle,en,motorcycle,0.93,
category,motorcycle,moto,fr,motorcycle,0.95,
category,motorcycle,motocyclette,fr,motorcycle,0.88,formal term
category,motorcycle,دراجة نارية,ar,motorcycle,0.90,
category,motorcycle,motou,darija_latin,motorcycle,0.82,transliteration
category,motorcycle,mota,typo,motorcycle,0.75,misspelling
category,scooter,scooter,en,motorcycle,0.92,
category,scooter,scooter,fr,motorcycle,0.92,
category,scooter,trottinette,fr,motorcycle,0.85,can mean kick scooter
category,scooter,سكوتر,ar,motorcycle,0.85,
category,scooter,scoutair,typo,motorcycle,0.70,phonetic misspelling
category,bicycle,bicycle,en,sports,0.92,
category,bicycle,vélo,fr,sports,0.95,
category,bicycle,velo,fr,sports,0.92,missing accent
category,bicycle,دراجة هوائية,ar,sports,0.88,
category,bicycle,bicycleta,typo,sports,0.70,spanish-influenced misspelling
category,bicycle,bisklet,darija_latin,sports,0.78,transliteration
category,spare_parts,spare parts,en,car,0.90,
category,spare_parts,pièces détachées,fr,car,0.93,
category,spare_parts,pieces detachees,fr,car,0.88,missing accents
category,spare_parts,قطع غيار,ar,car,0.92,
category,spare_parts,g3at ghyar,darija_latin,car,0.82,darija transliteration
category,spare_parts,9at3 ghyar,darija_latin,car,0.83,darija transliteration
brand,Volkswagen,Volkswagen,en,car,0.95,
brand,Volkswagen,volkswagen,en,car,0.93,lowercase
brand,Volkswagen,vw,brand_model,car,0.90,common abbreviation
brand,Volkswagen,فولكس فاكن,ar,car,0.80,
brand,Volkswagen,volswagen,typo,car,0.75,misspelling
brand,Volkswagen,folks wagen,typo,car,0.70,phonetic misspelling
brand,Volkswagen,golf,brand_model,car,0.90,VW model
brand,Volkswagen,polo,brand_model,car,0.88,VW model
brand,Renault,Renault,en,car,0.95,
brand,Renault,renault,en,car,0.93,lowercase
brand,Renault,رونو,ar,car,0.88,
brand,Renault,renaut,typo,car,0.78,misspelling
brand,Renault,rno,darija_latin,car,0.80,darija shortened transliteration
brand,Renault,clio,brand_model,car,0.90,Renault model
brand,Dacia,Dacia,en,car,0.94,
brand,Dacia,dacia,en,car,0.92,lowercase
brand,Dacia,داسيا,ar,car,0.86,
brand,Dacia,dassia,typo,car,0.74,misspelling
brand,Dacia,logan,brand_model,car,0.90,Dacia model
brand,Dacia,sandero,brand_model,car,0.89,Dacia model
brand,Peugeot,Peugeot,en,car,0.95,
brand,Peugeot,peugeot,en,car,0.93,lowercase
brand,Peugeot,بيجو,ar,car,0.88,
brand,Peugeot,bijo,darija_latin,car,0.78,phonetic transliteration
brand,Peugeot,pijo,typo,car,0.70,phonetic misspelling
brand,Peugeot,208,brand_model,car,0.85,Peugeot model
brand,Peugeot,308,brand_model,car,0.85,Peugeot model
brand,Peugeot,peugeot 208,brand_model,car,0.92,
brand,Peugeot,peugeot 308,brand_model,car,0.92,
brand,Citroen,Citroen,en,car,0.93,
brand,Citroen,citroën,fr,car,0.95,
brand,Citroen,citroen,fr,car,0.92,missing accent
brand,Citroen,سيتروين,ar,car,0.85,
brand,Citroen,sitroen,typo,car,0.75,misspelling
brand,Toyota,Toyota,en,car,0.96,
brand,Toyota,toyota,en,car,0.94,lowercase
brand,Toyota,تويوتا,ar,car,0.92,
brand,Toyota,toyouta,typo,car,0.78,misspelling
brand,Toyota,toyota corolla,brand_model,car,0.93,
brand,Toyota,corolla,brand_model,car,0.90,Toyota model
brand,Toyota,yaris,brand_model,car,0.88,Toyota model
brand,Toyota,corola,typo,car,0.78,misspelling
brand,Hyundai,Hyundai,en,car,0.94,
brand,Hyundai,hyundai,en,car,0.92,lowercase
brand,Hyundai,هيونداي,ar,car,0.88,
brand,Hyundai,hyundai tucson,brand_model,car,0.90,
brand,Hyundai,tucson,brand_model,car,0.87,Hyundai model
brand,Hyundai,hyondai,typo,car,0.75,misspelling
brand,Kia,Kia,en,car,0.93,
brand,Kia,kia,en,car,0.91,lowercase
brand,Kia,كيا,ar,car,0.86,
brand,Kia,kia sportage,brand_model,car,0.89,
brand,Kia,sportage,brand_model,car,0.85,Kia model
brand,Kia,kya,typo,car,0.70,misspelling
brand,Mercedes,Mercedes,en,car,0.96,
brand,Mercedes,mercedes,en,car,0.94,lowercase
brand,Mercedes,مرسيدس,ar,car,0.90,
brand,Mercedes,merso,darija_latin,car,0.85,common darija nickname
brand,Mercedes,mercedes benz,en,car,0.93,full name
brand,Mercedes,merdeces,typo,car,0.70,misspelling
brand,BMW,BMW,en,car,0.96,
brand,BMW,bmw,en,car,0.94,lowercase
brand,BMW,بي ام دبليو,ar,car,0.85,
brand,BMW,bm,darija_latin,car,0.75,shortened darija reference
brand,BMW,bmv,typo,car,0.70,misspelling
brand,Audi,Audi,en,car,0.95,
brand,Audi,audi,en,car,0.93,lowercase
brand,Audi,اودي,ar,car,0.87,
brand,Audi,awdi,darija_latin,car,0.78,transliteration
brand,Audi,aoudi,typo,car,0.72,misspelling
brand,Ford,Ford,en,car,0.94,
brand,Ford,ford,en,car,0.92,lowercase
brand,Ford,فورد,ar,car,0.86,
brand,Ford,foord,typo,car,0.70,misspelling
brand,Fiat,Fiat,en,car,0.93,
brand,Fiat,fiat,en,car,0.91,lowercase
brand,Fiat,فيات,ar,car,0.85,
brand,Fiat,fyat,typo,car,0.70,misspelling
brand,Yamaha,Yamaha,en,motorcycle,0.93,
brand,Yamaha,yamaha,en,motorcycle,0.91,lowercase
brand,Yamaha,ياماها,ar,motorcycle,0.86,
brand,Yamaha,yamaa,typo,motorcycle,0.70,misspelling
brand,Honda,Honda,en,car,0.94,
brand,Honda,honda,en,car,0.92,lowercase
brand,Honda,هوندا,ar,car,0.87,
brand,Honda,honda civic,brand_model,car,0.90,car model
brand,Honda,civic,brand_model,car,0.85,Honda model
brand,Honda,hwanda,typo,car,0.70,phonetic misspelling
category,refrigerator,refrigerator,en,home_appliance,0.93,
category,refrigerator,fridge,en,home_appliance,0.93,
category,refrigerator,réfrigérateur,fr,home_appliance,0.95,
category,refrigerator,refrigerateur,fr,home_appliance,0.90,missing accent
category,refrigerator,frigo,fr,home_appliance,0.94,colloquial FR
category,refrigerator,ثلاجة,ar,home_appliance,0.93,
category,refrigerator,telaja,darija_latin,home_appliance,0.88,darija transliteration
category,refrigerator,tlaja,darija_latin,home_appliance,0.86,darija transliteration
category,refrigerator,frigoo,typo,home_appliance,0.72,misspelling
category,washing_machine,washing machine,en,home_appliance,0.93,
category,washing_machine,machine à laver,fr,home_appliance,0.95,
category,washing_machine,machine a laver,fr,home_appliance,0.90,missing accent
category,washing_machine,غسالة,ar,home_appliance,0.92,
category,washing_machine,machine tsil,darija_latin,home_appliance,0.85,darija for washing machine
category,washing_machine,machine dial tsbon,darija_latin,home_appliance,0.72,informal darija
category,washing_machine,lavante,typo,home_appliance,0.70,misspelling
category,oven,oven,en,home_appliance,0.92,
category,oven,four,fr,home_appliance,0.93,
category,oven,fourneau,fr,home_appliance,0.82,can mean stove/furnace
category,oven,فرن,ar,home_appliance,0.92,
category,oven,forno,darija_latin,home_appliance,0.85,darija transliteration
category,oven,forn,darija_latin,home_appliance,0.86,darija transliteration
category,microwave,microwave,en,home_appliance,0.93,
category,microwave,micro-ondes,fr,home_appliance,0.95,
category,microwave,micro ondes,fr,home_appliance,0.90,missing hyphen
category,microwave,ميكروويف,ar,home_appliance,0.90,
category,microwave,microweiv,darija_latin,home_appliance,0.75,phonetic transliteration
category,microwave,micro onde,typo,home_appliance,0.80,missing s
category,tv,tv,en,home_appliance,0.93,
category,tv,television,en,home_appliance,0.90,
category,tv,télévision,fr,home_appliance,0.95,
category,tv,televiseur,fr,home_appliance,0.88,missing accent
category,tv,téléviseur,fr,home_appliance,0.92,
category,tv,تلفزة,ar,home_appliance,0.90,
category,tv,tlfaza,darija_latin,home_appliance,0.85,darija transliteration
category,tv,tlvza,darija_latin,home_appliance,0.78,darija transliteration
category,tv,smart tv,en,home_appliance,0.90,specific TV type
category,air_conditioner,air conditioner,en,home_appliance,0.92,
category,air_conditioner,climatiseur,fr,home_appliance,0.95,
category,air_conditioner,clim,fr,home_appliance,0.92,colloquial FR abbreviation
category,air_conditioner,مكيف,ar,home_appliance,0.92,
category,air_conditioner,klima,darija_latin,home_appliance,0.88,darija for AC
category,air_conditioner,ac,en,home_appliance,0.85,abbreviation
category,air_conditioner,klim,darija_latin,home_appliance,0.84,
category,heater,heater,en,home_appliance,0.90,
category,heater,chauffage,fr,home_appliance,0.93,
category,heater,radiateur,fr,home_appliance,0.88,electric heater term
category,heater,مدفأة,ar,home_appliance,0.88,
category,heater,chofaj,darija_latin,home_appliance,0.80,darija transliteration
category,blender,blender,en,home_appliance,0.92,
category,blender,mixeur,fr,home_appliance,0.93,
category,blender,mixer,fr,home_appliance,0.85,english loanword used in FR
category,blender,خلاط,ar,home_appliance,0.90,
category,blender,khalat,darija_latin,home_appliance,0.85,darija transliteration
category,blender,mixour,typo,home_appliance,0.70,misspelling
category,vacuum_cleaner,vacuum cleaner,en,home_appliance,0.91,
category,vacuum_cleaner,aspirateur,fr,home_appliance,0.95,
category,vacuum_cleaner,aspiratör,typo,home_appliance,0.70,misspelling
category,vacuum_cleaner,مكنسة كهربائية,ar,home_appliance,0.88,
category,vacuum_cleaner,aspiratour,darija_latin,home_appliance,0.78,darija transliteration
category,sofa,sofa,en,furniture,0.93,
category,sofa,canapé,fr,furniture,0.95,
category,sofa,canape,fr,furniture,0.90,missing accent
category,sofa,أريكة,ar,furniture,0.88,
category,sofa,salon,fr,furniture,0.80,"colloquial, used for sofa set"
category,sofa,kanapi,darija_latin,furniture,0.80,darija transliteration
category,sofa,sofà,typo,furniture,0.70,misspelling
category,bed,bed,en,furniture,0.93,
category,bed,lit,fr,furniture,0.93,
category,bed,سرير,ar,furniture,0.90,
category,bed,namousa,typo,furniture,0.70,"unrelated darija slang, low conf"
category,bed,serir,darija_latin,furniture,0.82,darija transliteration
category,mattress,mattress,en,furniture,0.92,
category,mattress,matelas,fr,furniture,0.95,
category,mattress,matla,darija_latin,furniture,0.80,darija transliteration
category,mattress,فراش,ar,furniture,0.88,
category,mattress,matlas,typo,furniture,0.78,misspelling
category,table,table,en,furniture,0.92,
category,table,table,fr,furniture,0.93,
category,table,طاولة,ar,furniture,0.90,
category,table,tabla,darija_latin,furniture,0.83,darija transliteration
category,chair,chair,en,furniture,0.92,
category,chair,chaise,fr,furniture,0.94,
category,chair,كرسي,ar,furniture,0.90,
category,chair,kursi,darija_latin,furniture,0.84,darija transliteration
category,chair,chaize,typo,furniture,0.72,misspelling
category,wardrobe,wardrobe,en,furniture,0.90,
category,wardrobe,armoire,fr,furniture,0.94,
category,wardrobe,placard,fr,furniture,0.85,can mean closet
category,wardrobe,خزانة,ar,furniture,0.88,
category,wardrobe,khzana,darija_latin,furniture,0.82,darija transliteration
category,desk,desk,en,furniture,0.91,
category,desk,bureau,fr,furniture,0.93,can also mean office
category,desk,مكتب,ar,furniture,0.88,can also mean office
category,desk,byro,darija_latin,furniture,0.78,darija transliteration
category,kitchen,kitchen,en,furniture,0.90,
category,kitchen,cuisine,fr,furniture,0.93,
category,kitchen,مطبخ,ar,furniture,0.90,
category,kitchen,koujina,darija_latin,furniture,0.82,darija transliteration
category,decoration,decoration,en,furniture,0.88,
category,decoration,décoration,fr,furniture,0.93,
category,decoration,decoration,fr,furniture,0.88,missing accent
category,decoration,ديكور,ar,furniture,0.86,
category,decoration,dikor,darija_latin,furniture,0.80,darija transliteration
category,lamp,lamp,en,furniture,0.90,
category,lamp,lampe,fr,furniture,0.93,
category,lamp,مصباح,ar,furniture,0.88,
category,lamp,lampa,darija_latin,furniture,0.80,darija transliteration
category,lamp,lemp,typo,furniture,0.70,phonetic misspelling
category,t_shirt,t-shirt,en,clothes,0.93,
category,t_shirt,tshirt,en,clothes,0.90,missing hyphen
category,t_shirt,tee shirt,fr,clothes,0.88,
category,t_shirt,تيشيرت,ar,clothes,0.85,
category,t_shirt,tisheart,typo,clothes,0.70,phonetic misspelling
category,shirt,shirt,en,clothes,0.91,
category,shirt,chemise,fr,clothes,0.94,
category,shirt,قميص,ar,clothes,0.88,
category,shirt,9amij,darija_latin,clothes,0.80,darija transliteration
category,pants,pants,en,clothes,0.90,
