type,canonical,alias,language,category,confidence,notes
category,pants,trousers,en,clothes,0.85,
category,pants,pantalon,fr,clothes,0.94,
category,pants,بنطلون,ar,clothes,0.88,
category,pants,bantalon,darija_latin,clothes,0.83,darija transliteration
category,pants,pantalo,typo,clothes,0.75,misspelling
category,jeans,jeans,en,clothes,0.93,
category,jeans,jean,fr,clothes,0.92,
category,jeans,جينز,ar,clothes,0.88,
category,jeans,jin,darija_latin,clothes,0.78,darija transliteration
category,jacket,jacket,en,clothes,0.91,
category,jacket,veste,fr,clothes,0.94,
category,jacket,blouson,fr,clothes,0.85,can mean bomber jacket
category,jacket,سترة,ar,clothes,0.86,
category,jacket,jaket,darija_latin,clothes,0.80,darija transliteration
category,jacket,jaket,typo,clothes,0.78,common misspelling
category,dress,dress,en,clothes,0.91,
category,dress,robe,fr,clothes,0.94,
category,dress,فستان,ar,clothes,0.90,
category,dress,fostan,darija_latin,clothes,0.84,darija transliteration
category,shoes,shoes,en,shoes,0.92,
category,shoes,chaussures,fr,shoes,0.95,
category,shoes,chaussure,fr,shoes,0.90,singular
category,shoes,حذاء,ar,shoes,0.90,
category,shoes,sabbat,darija_latin,shoes,0.86,darija for shoes
category,shoes,sebbat,darija_latin,shoes,0.85,darija transliteration
category,shoes,chosur,typo,shoes,0.70,phonetic misspelling
category,sneakers,sneakers,en,shoes,0.93,
category,sneakers,baskets,fr,shoes,0.95,
category,sneakers,basket,fr,shoes,0.90,colloquial singular
category,sneakers,كرة,ar,shoes,0.70,"informal, low confidence ambiguous"
category,sneakers,snikerz,typo,shoes,0.70,phonetic misspelling
category,sneakers,snikers,darija_latin,shoes,0.78,darija transliteration
category,sandals,sandals,en,shoes,0.90,
category,sandals,sandales,fr,shoes,0.93,
category,sandals,صندل,ar,shoes,0.86,
category,sandals,chebchab,darija_latin,shoes,0.82,darija for traditional sandals/slippers
category,sandals,sandal,typo,shoes,0.80,missing s
category,watch,watch,en,clothes,0.92,
category,watch,montre,fr,clothes,0.94,
category,watch,ساعة,ar,clothes,0.90,
category,watch,magana,darija_latin,clothes,0.86,darija for watch
category,bag,bag,en,clothes,0.91,
category,bag,sac,fr,clothes,0.94,
category,bag,حقيبة,ar,clothes,0.88,
category,bag,sak,darija_latin,clothes,0.80,darija transliteration
category,bag,sac à main,fr,clothes,0.88,handbag specific
category,oil,oil,en,grocery,0.90,
category,oil,huile,fr,grocery,0.94,
category,oil,زيت,ar,grocery,0.92,
category,oil,zit,darija_latin,grocery,0.87,darija transliteration
category,oil,zit lzitoune,darija_latin,grocery,0.84,darija for olive oil
category,sugar,sugar,en,grocery,0.90,
category,sugar,sucre,fr,grocery,0.94,
category,sugar,سكر,ar,grocery,0.92,
category,sugar,sukkar,darija_latin,grocery,0.86,darija transliteration
category,sugar,succre,typo,grocery,0.75,misspelling
category,flour,flour,en,grocery,0.89,
category,flour,farine,fr,grocery,0.94,
category,flour,طحين,ar,grocery,0.90,
category,flour,tahin,darija_latin,grocery,0.83,darija transliteration
category,flour,flor,typo,grocery,0.72,misspelling
category,milk,milk,en,grocery,0.91,
category,milk,lait,fr,grocery,0.94,
category,milk,حليب,ar,grocery,0.92,
category,milk,hlib,darija_latin,grocery,0.87,darija transliteration
category,coffee,coffee,en,grocery,0.92,
category,coffee,café,fr,grocery,0.94,
category,coffee,cafe,fr,grocery,0.90,missing accent
category,coffee,قهوة,ar,grocery,0.92,
category,coffee,9ahwa,darija_latin,grocery,0.87,darija transliteration
category,coffee,qahwa,darija_latin,grocery,0.85,darija transliteration
category,tea,tea,en,grocery,0.91,
category,tea,thé,fr,grocery,0.94,
category,tea,the,fr,grocery,0.85,"missing accent, ambiguous with article"
category,tea,شاي,ar,grocery,0.92,
category,tea,atay,darija_latin,grocery,0.87,darija for mint tea
category,rice,rice,en,grocery,0.90,
category,rice,riz,fr,grocery,0.94,
category,rice,أرز,ar,grocery,0.90,
category,rice,rooz,darija_latin,grocery,0.85,darija transliteration
category,pasta,pasta,en,grocery,0.91,
category,pasta,pâtes,fr,grocery,0.93,
category,pasta,pates,fr,grocery,0.88,missing accent
category,pasta,معكرونة,ar,grocery,0.90,
category,pasta,ma3karouna,darija_latin,grocery,0.85,darija transliteration
category,water,water,en,grocery,0.91,
category,water,eau,fr,grocery,0.94,
category,water,ماء,ar,grocery,0.92,
category,water,lma,darija_latin,grocery,0.87,darija for water
category,water,dyal lma,darija_latin,grocery,0.70,informal phrase
category,detergent,detergent,en,grocery,0.89,
category,detergent,lessive,fr,grocery,0.93,
category,detergent,مسحوق غسيل,ar,grocery,0.86,
category,detergent,tide,darija_latin,grocery,0.70,genericized brand name used colloquially
category,detergent,sabon dial tsbon,darija_latin,grocery,0.72,informal darija
category,shampoo,shampoo,en,beauty,0.91,
category,shampoo,shampooing,fr,beauty,0.94,
category,shampoo,شامبو,ar,beauty,0.90,
category,shampoo,champwan,darija_latin,beauty,0.80,darija transliteration
category,shampoo,shampo,typo,beauty,0.78,missing o
category,perfume,perfume,en,beauty,0.91,
category,perfume,parfum,fr,beauty,0.95,
category,perfume,عطر,ar,beauty,0.92,
category,perfume,3tar,darija_latin,beauty,0.86,darija transliteration
category,perfume,perfom,typo,beauty,0.72,misspelling
category,makeup,makeup,en,beauty,0.91,
category,makeup,maquillage,fr,beauty,0.94,
category,makeup,makiyaj,darija_latin,beauty,0.80,darija transliteration
category,makeup,مكياج,ar,beauty,0.90,
category,makeup,makeup,typo,beauty,0.85,correct but commonly miswritten as 'make up'
category,makeup,make up,typo,beauty,0.82,split word
category,skincare,skincare,en,beauty,0.90,
category,skincare,soins de la peau,fr,beauty,0.88,
category,skincare,العناية بالبشرة,ar,beauty,0.86,
category,skincare,skin care,typo,beauty,0.82,split word
category,hair_dryer,hair dryer,en,beauty,0.90,
category,hair_dryer,sèche-cheveux,fr,beauty,0.93,
category,hair_dryer,seche cheveux,fr,beauty,0.85,missing accent/hyphen
category,hair_dryer,مجفف شعر,ar,beauty,0.86,
category,hair_dryer,sicheswar,darija_latin,beauty,0.72,phonetic darija transliteration
category,electric_shaver,electric shaver,en,beauty,0.89,
category,electric_shaver,rasoir électrique,fr,beauty,0.92,
category,electric_shaver,rasoir electrique,fr,beauty,0.86,missing accent
category,electric_shaver,ماكينة حلاقة,ar,beauty,0.86,
category,electric_shaver,rasour,darija_latin,beauty,0.78,darija transliteration
category,vitamins,vitamins,en,beauty,0.89,
category,vitamins,vitamines,fr,beauty,0.92,
category,vitamins,فيتامينات,ar,beauty,0.88,
category,vitamins,vitamine,typo,beauty,0.80,singular used as plural
category,protein_powder,protein powder,en,beauty,0.90,
category,protein_powder,protéine en poudre,fr,beauty,0.88,
category,protein_powder,proteine,fr,beauty,0.84,"missing accent, shortened"
category,protein_powder,بروتين,ar,beauty,0.86,
category,protein_powder,protin,typo,beauty,0.75,misspelling
category,protein_powder,whey,brand_model,beauty,0.82,common informal term for protein powder
category,apartment,apartment,en,real_estate,0.92,
category,apartment,appartement,fr,real_estate,0.95,
category,apartment,appart,fr,real_estate,0.91,colloquial FR abbreviation
category,apartment,شقة,ar,real_estate,0.92,
category,apartment,chi9a,darija_latin,real_estate,0.86,darija transliteration
category,apartment,appartemen,typo,real_estate,0.75,misspelling
category,house,house,en,real_estate,0.91,
category,house,maison,fr,real_estate,0.94,
category,house,منزل,ar,real_estate,0.90,
category,house,dar,darija_latin,real_estate,0.88,darija for house
category,villa,villa,en,real_estate,0.92,
category,villa,villa,fr,real_estate,0.93,
category,villa,فيلا,ar,real_estate,0.90,
category,villa,vila,typo,real_estate,0.78,misspelling
category,studio,studio,en,real_estate,0.91,
category,studio,studio,fr,real_estate,0.92,
category,studio,استوديو,ar,real_estate,0.85,
category,studio,stidio,typo,real_estate,0.72,misspelling
category,rent,rent,en,real_estate,0.90,
category,rent,location,fr,real_estate,0.93,
category,rent,louer,fr,real_estate,0.88,verb form
category,rent,كراء,ar,real_estate,0.90,
category,rent,kra,darija_latin,real_estate,0.87,darija for rent
category,rent,kraya,darija_latin,real_estate,0.85,darija noun form
category,sale,sale,en,real_estate,0.90,
category,sale,vente,fr,real_estate,0.93,
category,sale,بيع,ar,real_estate,0.90,
category,sale,bay3,darija_latin,real_estate,0.85,darija transliteration
category,sale,chraya,darija_latin,real_estate,0.80,"darija, also relates to buying"
category,land,land,en,real_estate,0.90,
category,land,terrain,fr,real_estate,0.94,
category,land,أرض,ar,real_estate,0.90,
category,land,ard,darija_latin,real_estate,0.85,darija transliteration
category,land,terain,typo,real_estate,0.75,misspelling
category,office,office,en,real_estate,0.90,
category,office,bureau,fr,real_estate,0.92,can also mean desk
category,office,مكتب,ar,real_estate,0.88,can also mean desk
category,office,byro,darija_latin,real_estate,0.78,darija transliteration
category,shop,shop,en,real_estate,0.90,
category,shop,magasin,fr,real_estate,0.93,
category,shop,boutique,fr,real_estate,0.90,
category,shop,محل,ar,real_estate,0.90,
category,shop,mahal,darija_latin,real_estate,0.85,darija transliteration
color,black,black,en,color,0.95,
color,black,noir,fr,color,0.96,
color,black,noire,fr,color,0.92,feminine form
color,black,أسود,ar,color,0.93,
color,black,kehel,darija_latin,color,0.88,darija for black
color,black,k7el,darija_latin,color,0.88,"darija for black, numeral 7 for ح"
color,black,khal,darija_latin,color,0.82,darija variant
color,black,nwar,typo,color,0.70,misspelling of noir
color,white,white,en,color,0.95,
color,white,blanc,fr,color,0.96,
color,white,blanche,fr,color,0.92,feminine form
color,white,أبيض,ar,color,0.93,
color,white,bida,darija_latin,color,0.87,"darija for white, feminine"
color,white,byed,darija_latin,color,0.85,"darija for white, masculine"
color,white,blan,typo,color,0.72,misspelling
color,red,red,en,color,0.95,
color,red,rouge,fr,color,0.96,
color,red,أحمر,ar,color,0.93,
color,red,7mer,darija_latin,color,0.87,"darija for red, numeral 7 for ح"
color,red,hmar,darija_latin,color,0.82,darija variant
color,red,rouj,typo,color,0.70,phonetic misspelling
color,blue,blue,en,color,0.95,
color,blue,bleu,fr,color,0.96,
color,blue,bleue,fr,color,0.90,feminine form
color,blue,أزرق,ar,color,0.92,
color,blue,zra9,darija_latin,color,0.86,"darija for blue, numeral 9 for ق"
color,blue,zrag,darija_latin,color,0.80,darija variant
color,blue,blu,typo,color,0.75,misspelling
color,green,green,en,color,0.95,
color,green,vert,fr,color,0.96,
color,green,verte,fr,color,0.90,feminine form
color,green,أخضر,ar,color,0.92,
color,green,khdar,darija_latin,color,0.86,darija for green
color,green,grin,typo,color,0.70,phonetic misspelling
color,gray,gray,en,color,0.93,
color,gray,grey,en,color,0.92,british spelling
color,gray,gris,fr,color,0.95,
color,gray,grise,fr,color,0.88,feminine form
color,gray,رمادي,ar,color,0.90,
color,gray,rmadi,darija_latin,color,0.83,darija transliteration
color,gray,grii,typo,color,0.70,misspelling
color,silver,silver,en,color,0.93,
color,silver,argenté,fr,color,0.92,
color,silver,argente,fr,color,0.85,missing accent
color,silver,فضي,ar,color,0.88,
color,silver,fedi,darija_latin,color,0.78,darija transliteration
color,gold,gold,en,color,0.93,
color,gold,doré,fr,color,0.92,
color,gold,dore,fr,color,0.85,missing accent
color,gold,ذهبي,ar,color,0.90,
color,gold,dhabi,darija_latin,color,0.80,darija transliteration
color,gold,golden,en,color,0.85,adjective variant
color,yellow,yellow,en,color,0.95,
color,yellow,jaune,fr,color,0.96,
color,yellow,أصفر,ar,color,0.92,
color,yellow,sfar,darija_latin,color,0.85,darija for yellow
color,yellow,yelow,typo,color,0.72,misspelling
color,brown,brown,en,color,0.93,
color,brown,marron,fr,color,0.95,
color,brown,بني,ar,color,0.88,
color,brown,kahwi,darija_latin,color,0.80,"darija, lit. coffee-colored"
color,brown,brwn,typo,color,0.70,misspelling
color,beige,beige,en,color,0.91,
color,beige,beige,fr,color,0.92,
color,beige,بيج,ar,color,0.84,
color,beige,bij,darija_latin,color,0.78,darija transliteration
color,orange,orange,en,color,0.93,
color,orange,orange,fr,color,0.94,
color,orange,برتقالي,ar,color,0.88,
color,orange,lartanji,darija_latin,color,0.78,darija for orange color
color,orange,orenj,typo,color,0.70,phonetic misspelling
color,purple,purple,en,color,0.92,
color,purple,violet,fr,color,0.94,
color,purple,violette,fr,color,0.86,feminine form
color,purple,بنفسجي,ar,color,0.86,
color,purple,bnafsji,darija_latin,color,0.76,darija transliteration
condition,new,new,en,general,0.94,
condition,new,neuf,fr,general,0.95,
condition,new,neuve,fr,general,0.90,feminine form
condition,new,جديد,ar,general,0.92,
condition,new,jdid,darija_latin,general,0.88,darija for new
condition,new,jdida,darija_latin,general,0.85,darija feminine form
condition,new,nuf,typo,general,0.70,phonetic misspelling
condition,used,used,en,general,0.93,
condition,used,occasion,fr,general,0.93,
condition,used,d'occasion,fr,general,0.90,
condition,used,مستعمل,ar,general,0.91,
condition,used,msta3mel,darija_latin,general,0.87,darija for used
condition,used,m3awd,darija_latin,general,0.78,darija variant
condition,good_condition,good condition,en,general,0.91,
condition,good_condition,bon état,fr,general,0.93,
condition,good_condition,bon etat,fr,general,0.88,missing accent
condition,good_condition,حالة جيدة,ar,general,0.90,
condition,good_condition,n9i,darija_latin,general,0.86,darija for clean/good condition
condition,good_condition,nadi,darija_latin,general,0.82,darija variant
condition,good_condition,mzyan,darija_latin,general,0.80,darija for good
condition,cheap,cheap,en,general,0.92,
condition,cheap,pas cher,fr,general,0.93,
condition,cheap,bon marché,fr,general,0.86,
condition,cheap,رخيص,ar,general,0.90,
condition,cheap,rkhis,darija_latin,general,0.87,darija for cheap
condition,cheap,rkhiss,darija_latin,general,0.82,darija variant spelling
condition,expensive,expensive,en,general,0.92,
condition,expensive,cher,fr,general,0.93,
condition,expensive,chère,fr,general,0.88,feminine form
condition,expensive,غالي,ar,general,0.90,
condition,expensive,ghali,darija_latin,general,0.87,darija for expensive
condition,available,available,en,general,0.91,
condition,available,disponible,fr,general,0.94,
condition,available,متوفر,ar,general,0.90,
condition,available,mawjoud,darija_latin,general,0.83,darija for available
condition,available,kayn,darija_latin,general,0.84,"darija, lit. 'there is'"
intent,near_me,near me,en,general,0.92,
intent,near_me,près de moi,fr,general,0.93,
intent,near_me,pres de moi,fr,general,0.86,missing accent
intent,near_me,قريب مني,ar,general,0.88,
intent,near_me,9reb mnni,darija_latin,general,0.83,darija for near me
intent,near_me,9reb,darija_latin,general,0.82,darija for near/close
intent,best,best,en,general,0.92,
intent,best,meilleur,fr,general,0.94,
intent,best,meilleure,fr,general,0.88,feminine form
intent,best,أفضل,ar,general,0.90,
intent,best,lahsen,darija_latin,general,0.82,darija for best
intent,best,zwin,darija_latin,general,0.75,"darija, colloquial for nice/good"
intent,buy,buy,en,general,0.93,
intent,buy,acheter,fr,general,0.94,
intent,buy,شراء,ar,general,0.90,
intent,buy,bghit nchri,darija_latin,general,0.85,"darija phrase, 'I want to buy'"
intent,buy,chrit,darija_latin,general,0.80,darija past tense 'I bought'
intent,buy,nchri,darija_latin,general,0.83,darija 'to buy' first person
intent,search,search,en,general,0.93,
intent,search,rechercher,fr,general,0.93,
intent,search,chercher,fr,general,0.91,
intent,search,بحث,ar,general,0.90,
intent,search,kan9leb,darija_latin,general,0.85,darija for 'I am searching'
intent,search,n9leb,darija_latin,general,0.83,darija for 'to search'
intent,compare,compare,en,general,0.91,
intent,compare,comparer,fr,general,0.93,
intent,compare,مقارنة,ar,general,0.88,
intent,compare,nqarn,darija_latin,general,0.76,darija for 'to compare'
intent,please,please,en,general,0.88,
intent,please,s'il vous plaît,fr,general,0.90,
intent,please,sil vous plait,fr,general,0.83,missing accents/apostrophe
intent,please,من فضلك,ar,general,0.88,
intent,please,3afak,darija_latin,general,0.86,darija for please
intent,please,afak,darija_latin,general,0.80,darija variant without 3
intent,want,want,en,general,0.90,
intent,want,vouloir,fr,general,0.88,verb infinitive
intent,want,je veux,fr,general,0.91,
intent,want,أريد,ar,general,0.88,
intent,want,bghit,darija_latin,general,0.87,darija for 'I want'
intent,want,bghi,darija_latin,general,0.84,darija variant
intent,filter_by_price,filter by price,en,general,0.85,
intent,filter_by_price,filtrer par prix,fr,general,0.86,
intent,filter_by_price,تصفية حسب السعر,ar,general,0.82,
intent,filter_by_price,hsab taman,darija_latin,general,0.70,"darija, lit. 'by price'"
intent,sort_by_newest,sort by newest,en,general,0.84,
intent,sort_by_newest,trier par nouveauté,fr,general,0.83,
intent,sort_by_newest,ترتيب حسب الأحدث,ar,general,0.80,
intent,add_to_cart,add to cart,en,general,0.88,
intent,add_to_cart,ajouter au panier,fr,general,0.90,
intent,add_to_cart,أضف إلى السلة,ar,general,0.85,
intent,add_to_cart,zid f cart,darija_latin,general,0.74,"darija/english mix, informal"
intent,contact_seller,contact seller,en,general,0.87,
intent,contact_seller,contacter le vendeur,fr,general,0.88,
intent,contact_seller,تواصل مع البائع,ar,general,0.84,
intent,contact_seller,twasel m3a biy3,darija_latin,general,0.72,darija phrase
brand,Samsung Galaxy,Samsung Galaxy S23,brand_model,phone,0.90,specific model
brand,Samsung Galaxy,Samsung Galaxy S24,brand_model,phone,0.90,specific model
brand,Samsung Galaxy,Samsung Galaxy A54,brand_model,phone,0.88,specific model
brand,Samsung Galaxy,galaxy s23,brand_model,phone,0.87,shortened form
brand,Samsung Galaxy,galaxy a54,brand_model,phone,0.85,shortened form
category,scarf,scarf,en,clothes,0.89,
category,scarf,écharpe,fr,clothes,0.92,
category,scarf,foulard,fr,clothes,0.88,can mean headscarf
category,scarf,وشاح,ar,clothes,0.84,
category,scarf,fular,darija_latin,clothes,0.78,darija transliteration
category,belt,belt,en,clothes,0.89,
category,belt,ceinture,fr,clothes,0.92,
category,belt,حزام,ar,clothes,0.86,
category,belt,hzam,darija_latin,clothes,0.80,darija transliteration
category,eggs,eggs,en,grocery,0.90,
category,eggs,œufs,fr,grocery,0.92,
category,eggs,oeufs,fr,grocery,0.88,missing ligature
category,eggs,بيض,ar,grocery,0.90,
category,eggs,baid,darija_latin,grocery,0.85,darija transliteration
category,bread,bread,en,grocery,0.90,
category,bread,pain,fr,grocery,0.93,
category,bread,خبز,ar,grocery,0.90,
category,bread,khobz,darija_latin,grocery,0.86,darija transliteration
category,honey,honey,en,grocery,0.89,
category,honey,miel,fr,grocery,0.92,
category,honey,عسل,ar,grocery,0.88,
category,honey,3assal,darija_latin,grocery,0.82,darija transliteration
category,treadmill,treadmill,en,sports,0.88,
category,treadmill,tapis de course,fr,sports,0.90,
category,treadmill,جهاز المشي,ar,sports,0.82,
category,dumbbell,dumbbell,en,sports,0.88,
category,dumbbell,haltère,fr,sports,0.90,
category,dumbbell,haltere,fr,sports,0.84,missing accent
category,dumbbell,دامبل,ar,sports,0.80,
category,football,football,en,sports,0.91,
category,football,ballon de foot,fr,sports,0.88,
category,football,كرة القدم,ar,sports,0.88,
category,football,kora,darija_latin,sports,0.82,darija for ball/football
category,iron,iron,en,home_appliance,0.89,
category,iron,fer à repasser,fr,home_appliance,0.92,
category,iron,fer a repasser,fr,home_appliance,0.86,missing accent
category,iron,مكواة,ar,home_appliance,0.86,
category,iron,makwa,darija_latin,home_appliance,0.80,darija transliteration
category,water_heater,water heater,en,home_appliance,0.88,
category,water_heater,chauffe-eau,fr,home_appliance,0.92,
category,water_heater,chauffe eau,fr,home_appliance,0.86,missing hyphen
category,water_heater,سخان ماء,ar,home_appliance,0.85,
category,water_heater,chauffo,darija_latin,home_appliance,0.78,darija transliteration
category,garage,garage,en,real_estate,0.89,
category,garage,garage,fr,real_estate,0.90,
category,garage,كراج,ar,real_estate,0.84,
category,garage,garaj,darija_latin,real_estate,0.80,darija transliteration
category,warehouse,warehouse,en,real_estate,0.87,
category,warehouse,entrepôt,fr,real_estate,0.89,
category,warehouse,entrepot,fr,real_estate,0.83,missing accent
category,warehouse,مستودع,ar,real_estate,0.84,
category,phone,تيليفون,darija_ar,phone,0.84,darija for phone in arabic script
category,phone,پورتابل,darija_ar,phone,0.78,"darija loanword for mobile, arabic script"
category,laptop,لابطوب,darija_ar,laptop,0.82,darija transliteration of laptop
category,laptop,أوردي,darija_ar,laptop,0.76,"darija for computer, from french ordi"
category,tablet,طابلات,darija_ar,tablet,0.74,darija transliteration of tablet
category,headphones,سماعات,darija_ar,headphones,0.85,darija for headphones
category,monitor,شاشة,darija_ar,monitor,0.84,darija for screen
category,car,طوموبيل,darija_ar,car,0.88,"darija for car, common spoken form"
category,car,توموبيل,darija_ar,car,0.85,darija variant spelling
category,used_car,طوموبيل مستعملة,darija_ar,car,0.82,darija for used car
category,motorcycle,موطو,darija_ar,motorcycle,0.84,darija for motorcycle
category,bicycle,بيسكليط,darija_ar,sports,0.83,darija for bicycle
category,spare_parts,قطع الغيار,darija_ar,car,0.85,darija for spare parts
category,refrigerator,تلاجة,darija_ar,home_appliance,0.88,"darija for fridge, arabic script"
category,washing_machine,ماشين طسيل,darija_ar,home_appliance,0.82,darija phrase for washing machine
category,oven,فرنو,darija_ar,home_appliance,0.83,darija for oven
category,microwave,ميكرواويف,darija_ar,home_appliance,0.78,darija transliteration
category,tv,تلفازة,darija_ar,home_appliance,0.86,darija for tv
category,air_conditioner,كليما,darija_ar,home_appliance,0.86,darija for AC
category,heater,الشوفاج,darija_ar,home_appliance,0.80,darija for heater
category,blender,الخلاط,darija_ar,home_appliance,0.84,darija for blender
category,sofa,كنابي,darija_ar,furniture,0.80,darija for sofa
category,bed,الصرير,darija_ar,furniture,0.80,darija for bed
category,mattress,المطلة,darija_ar,furniture,0.78,darija for mattress
category,table,الطابلة,darija_ar,furniture,0.81,darija for table
category,chair,الكرسي,darija_ar,furniture,0.84,darija for chair
category,wardrobe,الخزانة,darija_ar,furniture,0.83,darija for wardrobe
category,shoes,الصبّاط,darija_ar,shoes,0.86,darija for shoes
category,sandals,الشبشب,darija_ar,shoes,0.83,darija for slippers/sandals
category,watch,الماگانة,darija_ar,clothes,0.78,"darija for watch, arabic script with gaf"
category,bag,الساك,darija_ar,clothes,0.80,darija for bag
category,oil,الزيت,darija_ar,grocery,0.86,darija for oil
category,sugar,السكر,darija_ar,grocery,0.85,darija for sugar
category,coffee,القهوة,darija_ar,grocery,0.86,darija for coffee
category,tea,الأتاي,darija_ar,grocery,0.87,darija for mint tea
category,water,الما,darija_ar,grocery,0.85,darija for water
category,bread,الخبز,darija_ar,grocery,0.86,darija for bread
category,perfume,العطر,darija_ar,beauty,0.85,darija for perfume
category,apartment,الشقة,darija_ar,real_estate,0.86,darija for apartment
category,house,الدار,darija_ar,real_estate,0.88,darija for house
category,rent,الكراء,darija_ar,real_estate,0.87,darija for rent
category,land,الأرض,darija_ar,real_estate,0.85,darija for land
category,shop,المحل,darija_ar,real_estate,0.85,darija for shop
color,black,كحل,darija_ar,color,0.86,"darija for black, arabic script"
color,white,بيضة,darija_ar,color,0.84,"darija for white, feminine, arabic script"
color,white,بيض,darija_ar,color,0.82,"darija for white, masculine, arabic script"
color,red,حمر,darija_ar,color,0.84,"darija for red, arabic script"
color,blue,زرق,darija_ar,color,0.84,"darija for blue, arabic script"
color,green,خضر,darija_ar,color,0.84,"darija for green, arabic script"
color,gray,رمادي,darija_ar,color,0.80,"darija for gray, arabic script"
color,yellow,صفر,darija_ar,color,0.83,"darija for yellow, arabic script"
color,brown,قهوي,darija_ar,color,0.78,"darija for brown, lit. coffee-colored"
color,orange,لارتنجي,darija_ar,color,0.76,"darija for orange color, arabic script"
color,gold,دهبي,darija_ar,color,0.80,darija for gold color
color,silver,فضي,darija_ar,color,0.78,darija for silver color
color,beige,بيج,darija_ar,color,0.74,"darija for beige, arabic script"
color,purple,بنفسجي,darija_ar,color,0.76,"darija for purple, arabic script"
condition,new,جديد,darija_ar,general,0.88,darija for new
condition,new,جدیدة,darija_ar,general,0.80,darija feminine form of new
condition,used,مستعمل,darija_ar,general,0.87,darija for used
condition,good_condition,نقي,darija_ar,general,0.84,darija for clean/good condition
